coord_id,probe_id,seqnames,start,annotation,distanceToTSS,gene_entrez,gene_symbol,gene_name_full
chr14-23366660,cg18454133,chr14,23366660,Promoter,-908,10278,EFS,embryonal Fyn-associated substrate
chr14-23366837,cg09616633,chr14,23366837,Promoter,-1085,10278,EFS,embryonal Fyn-associated substrate
chr14-24398054,cg18545915,chr14,24398054,Promoter,-949,57523,NYNRIN,NYN domain and retroviral integrase containing
chr14-36523027,cg04224064,chr14,36523027,"Intron (ENST00000634305.1/ENST00000634305.1, intron 3 of 3)",-1878,7080,NKX2-1,NK2 homeobox 1
chr14-52692499,cg13409544,chr14,52692499,"Intron (ENST00000395686.8/30001, intron 1 of 15)",3401,30001,ERO1A,endoplasmic reticulum oxidoreductase 1 alpha
chr14-60507104,cg13539545,chr14,60507104,"Intron (ENST00000556799.1/317761, intron 1 of 5)",-2042,4990,SIX6,SIX homeobox 6
chr14-60511137,cg13019491,chr14,60511137,"Exon (ENST00000327720.6/4990, exon 2 of 2)",1991,4990,SIX6,SIX homeobox 6
chr14-60511442,cg14507337,chr14,60511442,3' UTR,2296,4990,SIX6,SIX homeobox 6
chr14-60641508,cg03032497,chr14,60641508,"Intron (ENST00000555871.2/ENST00000555871.2, intron 1 of 1)",16751,6495,SIX1,SIX homeobox 1
chr14-60642488,cg23322933,chr14,60642488,"Exon (ENST00000555871.2/ENST00000555871.2, exon 2 of 2)",15771,6495,SIX1,SIX homeobox 1
chr14-60642826,cg02320543,chr14,60642826,Distal Intergenic,15433,6495,SIX1,SIX homeobox 1
chr14-60643283,cg18103859,chr14,60643283,Distal Intergenic,14976,6495,SIX1,SIX homeobox 1
chr14-60652032,cg15425541,chr14,60652032,"Exon (ENST00000555955.3/6495, exon 1 of 2)",6227,6495,SIX1,SIX homeobox 1
chr14-60652499,cg00779065,chr14,60652499,"Exon (ENST00000555955.3/6495, exon 1 of 2)",5760,6495,SIX1,SIX homeobox 1
chr14-60653943,cg13007843,chr14,60653943,"Intron (ENST00000554986.2/6495, intron 1 of 1)",4316,6495,SIX1,SIX homeobox 1
chr14-60721834,cg25404951,chr14,60721834,"Intron (ENST00000216513.5/51804, intron 1 of 2)",2517,51804,SIX4,SIX homeobox 4
chr14-70171831,cg12081252,chr14,70171831,"Intron (ENST00000356921.7/6547, intron 1 of 6)",-15291,646548,LOC646548,ADAM metallopeptidase domain 20 pseudogene
chr14-73489937,cg03694633,chr14,73489937,Promoter,-996,79697,RIOX1,ribosomal oxygenase 1
chr14-75298745,cg05030067,chr14,75298745,"Intron (ENST00000790296.1/ENST00000790296.1, intron 1 of 1)",4464,731223,LINC01220,long intergenic non-protein coding RNA 1220
chr14-89185203,cg11508674,chr14,89185203,"Intron (ENST00000345097.8/1112, intron 5 of 6)",-4459,124903357,LOC124903357,uncharacterized LOC124903357
chr14-90184739,cg20023155,chr14,90184739,"Exon (ENST00000282146.5/56659, exon 2 of 2)",-71788,5700,PSMC1,"proteasome 26S subunit, ATPase 1"
chr14-90546017,cg27172557,chr14,90546017,"Intron (ENST00000328459.11/145567, intron 19 of 19)",-28801,105370619,LOC105370619,uncharacterized LOC105370619
chr15-36888434,cg17855264,chr15,36888434,Promoter,-429,145845,LOC145845,uncharacterized LOC145845
chr15-52783223,cg22711676,chr15,52783223,"Intron (ENST00000305901.7/3175, intron 1 of 1)",-5816,105370824,LOC105370824,uncharacterized LOC105370824
chr15-58490488,cg00870269,chr15,58490488,"Intron (ENST00000356113.10/3990, intron 3 of 10)",8247,101928694,LIPC-AS1,LIPC antisense RNA 1
chr15-62066903,cg18866529,chr15,62066903,Promoter,-74,145741,C2CD4A,C2 calcium dependent domain containing 4A
chr15-94607314,cg24323855,chr15,94607314,"Intron (ENST00000784860.1/ENST00000784860.1, intron 2 of 2)",-18051,105370985,LINC02852,long intergenic non-protein coding RNA 2852
chr15-94610528,cg00660643,chr15,94610528,Distal Intergenic,-21265,105370985,LINC02852,long intergenic non-protein coding RNA 2852
chr15-95929488,cg03850508,chr15,95929488,Distal Intergenic,-18808,124903582,LOC124903582,uncharacterized LOC124903582
chr15-96047774,cg10107043,chr15,96047774,"Intron (ENST00000619812.1/112268156, intron 1 of 3)",18440,105370998,LOC105370998,uncharacterized LOC105370998
chr16-10818687,cg26952618,chr16,10818687,Promoter,107,780776,TVP23A,trans-golgi network vesicle protein 23 homolog A
chr16-1532217,cg07857040,chr16,1532217,"Exon (ENST00000623365.1/ENST00000623365.1, exon 1 of 1)",3529,79652,TMEM204,transmembrane protein 204
chr16-28093267,cg17685863,chr16,28093267,Distal Intergenic,-4164,124903669,LOC124903669,uncharacterized LOC124903669
chr16-31535676,cg06185324,chr16,31535676,Distal Intergenic,7776,51327,AHSP,alpha hemoglobin stabilizing protein
chr16-4937909,cg20599852,chr16,4937909,"Intron (ENST00000592772.1/5493, intron 1 of 9)",-20421,9717,SEC14L5,SEC14 like lipid binding 5
chr16-4937922,cg00295771,chr16,4937922,"Intron (ENST00000592772.1/5493, intron 1 of 9)",-20408,9717,SEC14L5,SEC14 like lipid binding 5
chr16-4937925,cg17733992,chr16,4937925,"Intron (ENST00000592772.1/5493, intron 1 of 9)",-20405,9717,SEC14L5,SEC14 like lipid binding 5
chr16-50327240,cg16965449,chr16,50327240,"Intron (ENST00000394688.8/29117, intron 9 of 16)",34624,102465462,MIR6771,microRNA 6771
chr16-52547696,cg11410436,chr16,52547696,Promoter,106,27324,TOX3,TOX high mobility group box family member 3
chr16-72990097,cg17555914,chr16,72990097,"Intron (ENST00000268489.10/463, intron 1 of 9)",-102252,283902,HCCAT5,hepatocellular carcinoma associated transcript 5
chr16-7361205,cg16052372,chr16,7361205,"Intron (ENST00000641259.1/54715, intron 7 of 19)",-56150,124903640,LOC124903640,uncharacterized LOC124903640
chr16-79864032,cg04307216,chr16,79864032,Distal Intergenic,-36847,104266962,LINC01228,long intergenic non-protein coding RNA 1228
chr16-84894124,cg25759160,chr16,84894124,"Intron (ENST00000262424.10/83716, intron 14 of 14)",-34229,105371379,LINC02176,long intergenic non-protein coding RNA 2176
chr16-9013341,cg00970396,chr16,9013341,"Exon (ENST00000738044.1/ENST00000738044.1, exon 1 of 2)",-38013,7874,USP7,ubiquitin specific peptidase 7
chr17-17120877,cg17967134,chr17,17120877,"Intron (ENST00000651222.2/23164, intron 3 of 23)",78420,23164,MPRIP,myosin phosphatase Rho interacting protein
chr17-17810049,cg10868156,chr17,17810049,3' UTR,3496,102465466,MIR6777,microRNA 6777
chr17-46157868,cg04523597,chr17,46157868,"Intron (ENST00000432791.7/284058, intron 2 of 14)",-81474,124904014,LOC124904014,uncharacterized LOC124904014
chr17-65074927,cg11113436,chr17,65074927,"Intron (ENST00000759247.1/105371864, intron 1 of 1)",-18187,10672,GNA13,G protein subunit alpha 13
chr17-75048895,cg06051411,chr17,75048895,"Exon (ENST00000577516.5/23510, exon 1 of 6)",-1910,10476,ATP5PD,ATP synthase peripheral stalk subunit d
chr17-77377374,cg23994112,chr17,77377374,"Intron (ENST00000589070.1/10801, intron 1 of 1)",11231,124904062,LOC124904062,uncharacterized LOC124904062
chr17-81064911,cg10063663,chr17,81064911,"Intron (ENST00000321280.11/10458, intron 3 of 13)",29789,10458,BAIAP2,BAR/IMD domain containing adaptor protein 2
chr17-81419662,cg13710969,chr17,81419662,"Intron (ENST00000675386.2/57597, intron 2 of 27)",57390,124904083,LOC124904083,uncharacterized LOC124904083
chr17-81419881,cg02447879,chr17,81419881,"Exon (ENST00000728140.1/ENST00000728140.1, exon 1 of 2)",57609,124904083,LOC124904083,uncharacterized LOC124904083
chr17-81518502,cg14316944,chr17,81518502,"Intron (ENST00000430912.1/25794, intron 1 of 1)",4455,25794,FSCN2,"fascin actin-bundling protein 2, retinal"
chr17-83091690,cg03260530,chr17,83091690,"Intron (ENST00000320095.12/284207, intron 2 of 3)",32344,124904094,LOC124904094,uncharacterized LOC124904094
chr18-21242965,cg12473406,chr18,21242965,Promoter,-169,101927496,GREB1L-DT,GREB1L divergent transcript
chr18-32773161,cg20162206,chr18,32773161,Promoter,-138,57565,KLHL14,kelch like family member 14
chr18-3995556,cg14450972,chr18,3995556,"Exon (ENST00000767601.1/101410534, exon 2 of 2)",64642,101410534,DLGAP1-AS4,DLGAP1 antisense RNA 4
chr18-55586677,cg14954437,chr18,55586677,"Intron (ENST00000354452.8/6925, intron 2 of 19)",-3203,105372126,LOC105372126,uncharacterized LOC105372126
chr18-56197640,cg11289340,chr18,56197640,Distal Intergenic,-6378,642484,LINC03069,long intergenic non-protein coding RNA 3069
chr18-68722182,cg19283806,chr18,68722182,"Intron (ENST00000578970.5/79839, intron 2 of 3)",6973,79839,CCDC102B,coiled-coil domain containing 102B
chr18-77087615,cg17266581,chr18,77087615,"Exon (ENST00000495162.5/4155, exon 1 of 3)",46068,4155,MBP,myelin basic protein
chr18-78874036,cg16015805,chr18,78874036,Distal Intergenic,53405,105372224,LOC105372224,uncharacterized LOC105372224
chr19-10977165,cg05735955,chr19,10977165,"Intron (ENST00000643549.1/6597, intron 1 of 34)",16233,6597,SMARCA4,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4
chr19-1152358,cg21049737,chr19,1152358,"Intron (ENST00000361757.8/22904, intron 2 of 31)",-11062,102723798,LOC102723798,uncharacterized LOC102723798
chr19-13001547,cg00984412,chr19,13001547,"Intron (ENST00000592199.6/4784, intron 1 of 10)",6072,4784,NFIX,nuclear factor I X
chr19-13002667,cg04646674,chr19,13002667,"Intron (ENST00000592199.6/4784, intron 1 of 10)",7192,4784,NFIX,nuclear factor I X
chr19-13024847,cg24277817,chr19,13024847,"Intron (ENST00000592199.6/4784, intron 1 of 10)",-10213,107985286,NFIX-AS1,NFIX antisense RNA 1
chr19-15457762,cg24002183,chr19,15457762,"Exon (ENST00000602101.6/64926, exon 8 of 16)",6782,64926,RASAL3,RAS protein activator like 3
chr19-2291613,cg21869609,chr19,2291613,"Exon (ENST00000698372.1/645191, exon 2 of 2)",-9438,374872,PEAK3,PEAK family member 3
chr19-2602615,cg24874003,chr19,2602615,"Intron (ENST00000382159.8/2788, intron 2 of 4)",-28100,102465838,MIR7850,microRNA 7850
chr19-29407640,cg25179256,chr19,29407640,"Intron (ENST00000804084.1/284395, intron 2 of 4)",-118354,342865,VSTM2B,V-set and transmembrane domain containing 2B
chr19-33798966,cg04566826,chr19,33798966,"Intron (ENST00000587658.5/79047, intron 2 of 4)",3033,79047,KCTD15,potassium channel tetramerization domain containing 15
chr19-45529172,cg22144875,chr19,45529172,"Exon (ENST00000323060.4/80207, exon 2 of 2)",-22307,107985314,LOC107985314,uncharacterized LOC107985314
chr19-47782064,cg07953015,chr19,47782064,"Intron (ENST00000593892.5/6415, intron 5 of 5)",3387,6415,SELENOW,selenoprotein W
chr19-48716884,cg18046677,chr19,48716884,5' UTR,2841,284358,MAMSTR,MEF2 activating motif and SAP domain containing transcriptional regulator
chr19-51764454,cg26944755,chr19,51764454,"Exon (ENST00000814896.1/ENST00000814896.1, exon 1 of 1)",12428,2358,FPR2,formyl peptide receptor 2
chr19-51824856,cg15800907,chr19,51824856,3' UTR,-20741,2357,FPR1,formyl peptide receptor 1
chr19-54938077,cg11357008,chr19,54938077,"Exon (ENST00000340844.6/199713, exon 5 of 10)",-68075,107985325,GP6-AS1,GP6 antisense RNA 1
chr19-6477021,cg08379738,chr19,6477021,"Exon (ENST00000588988.5/79958, exon 4 of 5)",5536,79958,DENND1C,DENN domain containing 1C
chr2-101475193,cg27255239,chr2,101475193,Promoter,-81,731220,RFX8,regulatory factor X8
chr2-110115453,cg24919768,chr2,110115453,"Intron (ENST00000272462.3/7851, intron 1 of 3)",569,7851,MALL,"mal, T cell differentiation protein like"
chr2-118850026,cg18093372,chr2,118850026,Distal Intergenic,-2378,2019,EN1,engrailed homeobox 1
chr2-120654428,cg13283952,chr2,120654428,Distal Intergenic,-68462,124906073,LOC124906073,uncharacterized LOC124906073
chr2-132804213,cg14416623,chr2,132804213,"Intron (ENST00000651100.1/ENST00000651100.1, intron 2 of 3)",-111344,101928185,NCKAP5-AS1,NCKAP5 antisense RNA 1
