cpg,H,p_value,eta_squared,max_delta,NV,NIM,IM
chr17-35448913,365.220865926432,4.93510760106164e-80,0.447867898799546,0.15361870491618,0.251930688499273,0.342432153093054,0.405549393415453
chr2-163348241,364.731413079559,6.30347393542809e-80,0.447264381109197,0.169761630912053,0.369274320973016,0.460404309544538,0.539035951885069
chr14-23366837,364.717870558108,6.34630123469089e-80,0.447247682562402,0.197240923682828,0.335779658012747,0.425526721384971,0.533020581695575
chr17-17810571,364.614837002463,6.68181019619169e-80,0.447120637487625,0.161953786082855,0.504212898875037,0.561414657900594,0.666166684957892
chr20-36831552,364.398937559092,7.44348132906648e-80,0.446854423624034,0.232780599525187,0.2677119823083,0.346043262932037,0.500492581833487
chr7-70678776,364.396360962341,7.45307693364514e-80,0.446851246562689,0.239009161149598,0.669867428347421,0.56547744151274,0.430858267197824
chr15-61050160,364.20609819989,8.19691889852623e-80,0.446616643896289,0.169216605740869,0.92107421096076,0.875611171643202,0.751857605219891
chr1-36516822,364.084575286738,8.710418136114e-80,0.44646680060017,0.143809146953115,0.62151831744988,0.537130895553961,0.477709170496765
chr3-9035733,363.701530372663,1.0549117985871e-79,0.445994488745577,0.162754433054561,0.582362410123103,0.499130017212488,0.419607977068542
chr16-1532217,363.329430036847,1.27062299585219e-79,0.445535672055298,0.205721034905258,0.399720313526647,0.506010915212115,0.605441348431905
chr14-69716346,363.17617392587,1.37181596443152e-79,0.445346700278507,0.17271432763185,0.156652587548218,0.229468462204896,0.329366915180068
chr6-168387444,362.982556011696,1.51126090784097e-79,0.445107960556962,0.144496882126126,0.909859600226631,0.865566126796416,0.765362718100505
chr12-40693289,362.922104406601,1.55763733324276e-79,0.445033420969915,0.186948304693448,0.113413454275802,0.180220843585758,0.30036175896925
chr1-234531802,362.818600266461,1.64037063507452e-79,0.444905795642985,0.264003011763356,0.335396414287924,0.447597481851299,0.599399426051279
chr2-461269,362.802023337963,1.65402329004969e-79,0.444885355533863,0.190150306120392,0.586513300286511,0.503759918144286,0.396362994166119
chr2-40179143,362.586616278737,1.84211470367298e-79,0.444619748802389,0.200969385060701,0.800898416444391,0.704777761928365,0.599929031383689
chr1-234531778,362.205622110682,2.22868403219003e-79,0.444149965611199,0.173012156099383,0.406207440109265,0.462598133502363,0.579219596208649
chr18-78874036,361.973339714172,2.50315638480141e-79,0.443863550818954,0.205299718314747,0.845795393024618,0.773881910974173,0.640495674709872
chr17-38694001,361.141332410065,3.79451324903418e-79,0.44283764785458,0.149112030496298,0.314263585296436,0.382037874361068,0.463375615792735
chr3-17055473,361.139241955315,3.79848145163179e-79,0.442835070228502,0.156315747557455,0.835062537273907,0.753747549787351,0.678746789716452
chr17-46157868,361.103367148296,3.86723109788417e-79,0.442790834954742,0.247400895683449,0.318914047648288,0.430815355537096,0.566314943331737
chr10-77872614,360.932442752389,4.21226694843729e-79,0.442580077376559,0.159117360879215,0.417146976068142,0.47964454004777,0.576264336947356
chr10-22334618,360.852003186084,4.3851364969288e-79,0.442480891721435,0.19949469061226,0.240845756914932,0.356730433358474,0.440340447527191
chr1-25799741,360.476369156656,5.29116140060542e-79,0.442017717825716,0.138096127498831,0.240916916293426,0.315707654240531,0.379013043792257
chr5-35884652,360.47617720874,5.29166923867771e-79,0.442017481145178,0.205079837156554,0.567889573764973,0.45971912989359,0.362809736608419
chr9-128921980,360.278444649796,5.84157248444786e-79,0.44177366787891,0.162923319757883,0.341894821607706,0.413840399795722,0.504818141365588
chr4-7606435,360.274775754326,5.85229837890099e-79,0.44176914396341,0.135280101341051,0.937997228426664,0.919210613216771,0.802717127085613
chr2-60391419,360.182852725786,6.12755604982461e-79,0.441655798675445,0.163672054110542,0.887600323803943,0.832234050934785,0.723928269693402
chr6-42821092,359.935787324315,6.93325003907459e-79,0.441351155763644,0.189299386426526,0.328508537192596,0.431452345341784,0.517807923619122
chr16-26598433,359.829473141359,7.31177290522298e-79,0.441220065525721,0.185886575043916,0.882848042943791,0.826058296657353,0.696961467899875
chr14-24398054,359.335802549426,9.35883738543335e-79,0.440611347163287,0.203081182486899,0.368409873813875,0.462022410915228,0.571491056300773
chr18-55269848,359.334924119501,9.36294882967938e-79,0.440610264019114,0.122432433113971,0.859893505592642,0.823146090871083,0.73746107247867
chr10-99527301,359.175948376564,1.01375683148788e-78,0.440414239675171,0.171406827860972,0.281543554471006,0.373930223935964,0.452950382331978
chr9-114207159,359.144592404316,1.02977574102753e-78,0.440375576330845,0.164691545081327,0.403675530867656,0.480626679212373,0.568367075948984
chr19-58204209,359.110158659211,1.04765876182374e-78,0.440333117952172,0.151185915380452,0.373781066325662,0.470929065426632,0.524966981706115
chr12-111636281,359.069811330266,1.0690085053823e-78,0.440283367854829,0.197154264474745,0.313757400946928,0.389192966293776,0.510911665421673
chr16-79864032,358.697045950416,1.28803046239125e-78,0.439823731134915,0.193861830607818,0.851223958395152,0.771749106837603,0.657362127787334
chr19-1155225,358.68661278932,1.29476713296258e-78,0.439810866571294,0.173688857194071,0.275645911798252,0.364409586687517,0.449334768992323
chr3-119296618,358.629110459739,1.33253350827706e-78,0.43973996357551,0.213097426171539,0.435306254075857,0.559661120741465,0.648403680247395
chr6-168626014,358.17531683901,1.67193031143567e-78,0.439180415337867,0.171756311929924,0.884374571712714,0.833851679584961,0.712618259782791
chr3-169349405,358.098995455119,1.7369653275979e-78,0.439086307589542,0.182263730575567,0.651786636658766,0.542850965746152,0.469522906083198
chr8-11464942,357.792664324496,2.02446423711298e-78,0.438708587329835,0.164440811181511,0.2496524260279,0.332343931235101,0.414093237209411
chr16-56617610,357.775901260896,2.04150365696298e-78,0.43868791770764,0.184892829373569,0.176160429567694,0.252346917792419,0.361053258941262
chr9-14316266,357.684251059285,2.13723240616376e-78,0.438574908827725,0.1894548574616,0.141601919756485,0.216106402289534,0.331056777218084
chr15-95929488,357.593791905601,2.23611794191927e-78,0.438463368564243,0.215602722298431,0.804871230508163,0.720828723044425,0.589268508209732
chr19-1356269,357.467507187744,2.38186467940027e-78,0.438307653745676,0.187772983318783,0.383202086423283,0.482386674146361,0.570975069742066
chr3-128496589,357.275912106272,2.62132836911643e-78,0.43807140826914,0.227457241297628,0.435593124624613,0.533222340440967,0.663050365922242
chr7-48085323,357.203048926725,2.71858844122813e-78,0.437981564644544,0.198861174754534,0.79762985378578,0.729378978065258,0.598768679031246
chr14-77111268,357.015131514039,2.9864085049745e-78,0.437749853901404,0.192505863200112,0.344553927521983,0.426583759564449,0.537059790722095
chr7-149415226,356.977643459688,3.04291374062236e-78,0.437703629420084,0.177826846500594,0.100617698210144,0.192358831137955,0.278444544710738
chr1-151131750,356.959107619174,3.07124631172351e-78,0.437680773883075,0.165591874342494,0.332287423095691,0.423342697060221,0.497879297438186
chr14-103712797,356.904601235136,3.15609857283675e-78,0.437613565024829,0.193951047456334,0.288583064509572,0.393176964075851,0.482534111965906
chr5-42953487,356.747112767981,3.41467004676382e-78,0.43741937455978,0.216268748566729,0.110953271843208,0.22116939866836,0.327222020409937
chr7-157560283,356.724037003161,3.45429626998948e-78,0.437390921088978,0.13528444046497,0.9326053834811,0.901377704805848,0.797320943016131
chr7-157555466,356.615948998585,3.64611695821448e-78,0.437257643648071,0.169082701415356,0.835932354301112,0.755034832343446,0.666849652885755
chr14-90546017,356.458713103973,3.9443362987416e-78,0.43706376461649,0.205142383672215,0.370669115389643,0.437490750537941,0.575811499061858
chr19-54938077,356.041513301228,4.85923298247844e-78,0.436549338225928,0.231073809228676,0.768666631746362,0.679419930811786,0.537592822517686
chr11-46050281,355.968972361161,5.0387149178548e-78,0.436459891937313,0.177338363753909,0.335698016643413,0.418113591022142,0.513036380397322
chr17-81419881,355.878885239476,5.27086578056704e-78,0.436348810406259,0.215757322025879,0.325271523549887,0.421248742003706,0.541028845575766
chr17-17810356,355.712844932212,5.72713145916969e-78,0.436144075132197,0.173629002686202,0.350627133294848,0.419025659979364,0.52425613598105
chr11-121169164,355.62542639145,5.98301162739017e-78,0.436036284083169,0.130776210114128,0.870078562981725,0.822581261701635,0.739302352867597
chr5-38528407,355.114689488743,7.72369216300654e-78,0.435406522180941,0.190488985965728,0.73627055336949,0.651734626627571,0.545781567403761
chr17-79473219,355.069534826904,7.9000559370229e-78,0.435350844422816,0.163397610254723,0.714790396445255,0.624448175391453,0.551392786190532
chr3-122245755,354.977572125602,8.27179215180704e-78,0.435237450216525,0.177307285379857,0.825381438412336,0.767219847883297,0.64807415303248
chr8-17753985,354.970293261458,8.30195162584486e-78,0.435228475044955,0.175029243200419,0.326191770549148,0.407287722312738,0.501221013749567
chr3-123318252,354.959661871664,8.34619976836054e-78,0.435215366056305,0.105638204008656,0.92021026561491,0.891027345179858,0.814572061606255
chr17-4860153,354.805593779857,9.01455383121273e-78,0.435025393070107,0.154370655466071,0.40882226827364,0.510509911248054,0.563192923739711
chr19-1356315,354.477667798593,1.06206832960556e-77,0.434621045374344,0.163199733480041,0.086053535811575,0.149349095029735,0.249253269291616
chr1-2214197,354.257650616665,1.18557377084576e-77,0.434349754151251,0.195798988715659,0.252048277877195,0.340816833605175,0.447847266592854
chr12-132341718,354.254226904134,1.1876050408587e-77,0.434345532557501,0.119453603451993,0.538923732539943,0.470305841949545,0.419470129087951
chr9-120942959,354.215765132786,1.21066475633029e-77,0.4342981074387,0.186657635654804,0.417913765572595,0.502824754444058,0.604571401227399
chr19-1155056,354.118338506214,1.27110030521178e-77,0.434177975963272,0.16470321909543,0.286722303047279,0.364884989725483,0.451425522142709
chr5-17106229,353.934182908492,1.39369808387628e-77,0.433950903709607,0.177733481763937,0.288369721515112,0.371548744040336,0.466103203279049
chr1-111984917,353.910851276482,1.41005191420945e-77,0.433922134742888,0.152661519981039,0.726833558779703,0.65554660812334,0.574172038798664
chr10-23826842,353.880464512038,1.43163894665369e-77,0.433884666476002,0.130361448705411,0.91110918255739,0.884003076332088,0.780747733851979
chr10-127880678,353.865513143344,1.44238153157473e-77,0.433866230756281,0.189136555452055,0.715256354742579,0.618651336377577,0.526119799290524
chr4-7650207,353.851401949179,1.45259438100845e-77,0.433848831010085,0.257419704125947,0.793747776548281,0.696220678236546,0.536328072422333
chr4-93835627,353.753805503796,1.52523639116032e-77,0.433728490140316,0.151196171390068,0.893437572779424,0.841324196477553,0.742241401389356
chr6-13014772,353.54445532604,1.69354590166203e-77,0.433470351820025,0.132431007743897,0.348768521323223,0.41301852165997,0.481199529067121
chr1-47434592,353.434577183221,1.78919101171568e-77,0.433334867056993,0.252153789792217,0.151206840609853,0.264141242724444,0.40336063040207
chr19-39308396,353.406571640204,1.8144208764039e-77,0.433300334944764,0.166876877720667,0.363248363410734,0.475435096107656,0.530125241131401
chr7-55534678,353.39707489053,1.82305691418242e-77,0.43328862501915,0.238254253408115,0.769813567744054,0.642221440218876,0.53155931433594
chr8-118975861,353.325449982789,1.88952820163923e-77,0.433200308240184,0.166806791728658,0.889804770573332,0.827113074073266,0.722997978844674
chr1-228044274,353.202783432786,2.00904692740485e-77,0.433049054787652,0.147426406500736,0.886700343706148,0.848297384407568,0.739273937205412
chr12-115009155,353.15832626854,2.0542052351801e-77,0.432994237075882,0.186655434552028,0.844481008169912,0.773571553642444,0.657825573617884
chr7-3092612,353.074632003363,2.14199183221531e-77,0.432891038228561,0.254529718516694,0.774839353469874,0.664958407921412,0.52030963495318
chr5-65190593,352.968393002507,2.25884960485749e-77,0.432760040693597,0.145465764340429,0.838008563785119,0.7761670647699,0.69254279944469
chr1-33307134,352.941607664165,2.28930511539487e-77,0.432727013149402,0.132631671061539,0.298841714787614,0.372020745174625,0.431473385849153
chr1-35561009,352.904037830508,2.3327159797848e-77,0.432680687830466,0.1489632606141,0.44867225654385,0.504754902526302,0.59763551715795
chr4-139849421,352.90289775595,2.33404609392585e-77,0.432679282066523,0.2177820211015,0.318847002025169,0.412901736934382,0.536629023126669
chr7-76305166,352.878137762315,2.36312118053318e-77,0.432648751864754,0.151574575669632,0.316208987540988,0.380023750228544,0.46778356321062
chr8-22131778,352.835309695392,2.41427084226348e-77,0.432595942904306,0.157720095704891,0.275566175386445,0.351136002652646,0.433286271091336
chr13-76887143,352.771224332849,2.492883304343e-77,0.432516922728544,0.166067895491708,0.166196771712317,0.248064567359101,0.332264667204025
chr4-165009903,352.71429902442,2.56485679930094e-77,0.432446731226165,0.120339089300394,0.892679659987302,0.857835297271574,0.772340570686908
chr1-47434654,352.511932264965,2.83796154343431e-77,0.432197203779241,0.208459694355376,0.289734003764643,0.362970143034575,0.498193698120018
chr7-150515618,352.46907282056,2.89943459360606e-77,0.432144356128927,0.242738888190977,0.688234754767317,0.607567857606041,0.44549586657634
chr7-3593301,352.44195289747,2.93901858738151e-77,0.432110916026473,0.121253121072189,0.928659159151756,0.914922951050303,0.807406038079567
chr7-50315909,352.396732795891,3.00622687518479e-77,0.432055157578164,0.135735410735801,0.591628102561575,0.524742474001273,0.455892691825773
chr3-137295387,352.137050698596,3.42303235330668e-77,0.431734957704804,0.174887647980772,0.852081749613863,0.779791449405764,0.677194101633091
chr2-31216820,352.134461005892,3.42746752507559e-77,0.431731764495551,0.179751309763965,0.863587750973334,0.803016442308716,0.68383644120937
chr9-134667062,352.068397327646,3.5425736994187e-77,0.431650304966271,0.156756505256271,0.487592251208658,0.422638336968302,0.330835745952387
chr17-81053129,351.995577163657,3.67393604327127e-77,0.431560514381821,0.128797836741111,0.434999339691664,0.505667562022403,0.563797176432775
chr10-128181110,351.868073552948,3.91578329220417e-77,0.431403296612759,0.199464858601287,0.855797781834717,0.786305158845332,0.65633292323343
chr4-182820283,351.78394847673,4.08400417333673e-77,0.43129956655577,0.116326879754106,0.913338153104833,0.874601063718272,0.797011273350727
chr1-14224289,351.736766206407,4.18149591676111e-77,0.431241388663881,0.12216124703837,0.915105676121588,0.875054044527833,0.792944429083218
chr7-23787872,351.707335946037,4.24348212257732e-77,0.431205099810157,0.144313957631719,0.89306994444928,0.853704902044698,0.748755986817561
chr4-144547831,351.669727130595,4.32403327532809e-77,0.431158726424901,0.128338376868475,0.902317565128371,0.867440493188266,0.773979188259896
chr2-16655055,351.641557057642,4.38536838132775e-77,0.431123991439756,0.189498699785891,0.841854242449194,0.752605404220163,0.652355542663303
chr14-23366660,351.537360526197,4.61989462985557e-77,0.430995512362758,0.270881933804695,0.270234770185702,0.414506533456298,0.541116703990398
chr4-170273862,351.523703580785,4.65154940813624e-77,0.430978672725998,0.163684343126787,0.652100024720633,0.56768991026627,0.488415681593846
chr1-228321948,351.357050663319,5.0557531318482e-77,0.430773182075609,0.13093974490368,0.922584009129214,0.887890658697865,0.791644264225535
chr3-66525047,351.116153052389,5.70290465902836e-77,0.430476144330935,0.180753926757915,0.733362261330623,0.637651009814345,0.552608334572708
chr10-23797622,350.870475704437,6.44828567283879e-77,0.43017321295245,0.209953130485237,0.769931489548147,0.688236928918571,0.559978359062911
