seqnames,start,end,width,strand,no.cpgs,min_smoothed_fdr,Stouffer,HMFDR,Fisher,maxdiff,meandiff,overlapping.genes,contrast,selected_cpgs
chr8,49647579,49648519,941,*,12,0,0,2.2441831582209e-77,0,0.190972998388463,0.102771106517355,EFCAB1,IM_vs_NV,chr8-48735143; chr8-48735157
chr9,34651062,34655256,4195,*,12,0,0,9.04090150160754e-121,0,0.220247737785657,0.12950888900174,"GALT, IL11RA",IM_vs_NV,chr9-34651964
chr9,100068361,100070423,2063,*,12,0,0,1.05659925081207e-89,0,0.250535119644504,0.104488056527927,"CCDC180, RP11-23J9.4",IM_vs_NV,chr9-97307724
chr12,112203795,112205368,1574,*,12,0,0,1.37505129680148e-78,0,0.180332104525466,0.100396553597091,"RP11-162P23.2, ALDH2",IM_vs_NV,chr12-111766799
chr3,157819282,157822072,2791,*,11,0,0,2.91502491690489e-82,0,0.202203446548441,0.110476868312414,SHOX2,IM_vs_NV,chr3-158104129
chr10,63421358,63423079,1722,*,11,0,0,1.09290593559838e-106,0,0.214041938512125,0.108195539988692,C10orf107,IM_vs_NV,chr10-61662881
chr14,61107344,61111558,4215,*,11,0,0,7.23330628841097e-87,0,0.21869974897902,0.13271617401291,"RP11-1042B17.5, SIX1",IM_vs_NV,chr14-60641508; chr14-60642488; chr14-60642826; chr14-60643283
chr1,2977861,2980937,3077,*,10,0,0,1.74119472259162e-84,0,0.209743462881263,0.11127440873968,"LINC00982, AL008733.1",IM_vs_NV,chr1-3063598
chr1,103573772,103575172,1401,*,10,0,0,1.13053310473104e-114,0,0.232704812620196,0.120357035871412,COL11A1,IM_vs_NV,chr1-103108540; chr1-103108966
chr2,176931003,176934369,3367,*,10,0,0,2.68269031652363e-78,0,0.182611365431242,0.103441418239783,,IM_vs_NV,chr2-176067729
chr8,70404049,70405204,1156,*,10,0,0,2.60314355105397e-87,0,0.189880198166179,0.111304577079617,SULF1,IM_vs_NV,chr8-69492610; chr8-69492968
chr8,120684337,120686985,2649,*,10,0,0,8.61216621809544e-97,0,0.215836982589616,0.116263693744026,ENPP2,IM_vs_NV,chr8-119672942; chr8-119673076
chr15,53074424,53077010,2587,*,10,0,0,6.25179237066582e-88,0,0.263270128428702,0.120030706606406,ONECUT1,IM_vs_NV,chr15-52783223
chr7,53102694,53104336,1643,*,9,0,0,3.04642849476528e-101,0,-0.239116552207776,-0.132699245745198,POM121L12,IM_vs_NV,chr7-53035616
chr7,150210980,150213085,2106,*,9,0,0,1.24141068683897e-116,0,-0.246808202343753,-0.155551145572254,GIMAP7,IM_vs_NV,chr7-150515618; chr7-150515996
chr7,155895608,155898435,2828,*,9,0,0,3.02986122864905e-87,0,-0.153145540861197,-0.111242739158441,,IM_vs_NV,chr7-156104741
chr7,156795156,156797242,2087,*,9,0,0,1.24456940635606e-100,0,0.212715328905994,0.166969742262111,MNX1,IM_vs_NV,chr7-157004234
chr1,234667087,234668366,1280,*,8,0,0,1.89251278079997e-109,0,0.264003011763354,0.139378940811921,RP5-855F14.1,IM_vs_NV,chr1-234531770; chr1-234531802
chr2,176936091,176937971,1881,*,8,0,0,1.75482313687941e-73,0,0.202387255717503,0.127718558278923,,IM_vs_NV,chr2-176071668; chr2-176071852; chr2-176073242
chr5,72739616,72740748,1133,*,8,0,0,8.19042664319794e-101,0,0.246806996954495,0.153393335432275,FOXD1,IM_vs_NV,chr5-73444326; chr5-73444632; chr5-73444909
chr7,158324288,158326157,1870,*,8,0,0,2.91982122573622e-73,0,-0.14798476164852,-0.100741415622112,"PTPRN2, MIR595",IM_vs_NV,chr7-158533464
chr9,116326021,116327278,1258,*,8,0,0,1.61639561284056e-100,0,0.225062781471237,0.12530397694825,RGS3,IM_vs_NV,chr9-113564929
chr17,79392689,79394569,1881,*,8,0,2.86037529655406e-306,1.76190692135438e-99,0,0.215757322025878,0.108634512856484,RP11-1055B8.7,IM_vs_NV,chr17-81419662; chr17-81419881
chr18,74799250,74801026,1777,*,8,0,0,2.55043336050046e-98,0,0.241164441712361,0.120046355874405,MBP,IM_vs_NV,chr18-77087615
chr19,13112283,13113893,1611,*,8,0,0,5.03753667160388e-98,0,0.193526196098388,0.154278168312581,NFIX,IM_vs_NV,chr19-13001547; chr19-13002667
chr20,58629939,58631038,1100,*,8,0,0,1.05992406788703e-97,0,-0.196448993656157,-0.111361575311175,C20orf197,IM_vs_NV,chr20-60055723
chr1,169429698,169430464,767,*,7,0,1.12354181198439e-306,1.76178001445713e-103,0,0.186016049018392,0.100011998481515,CCDC181,IM_vs_NV,chr1-169460459
chr2,176968052,176969612,1561,*,7,0,0,4.31551041828997e-91,0,0.171564306516,0.119576095969487,HOXD11,IM_vs_NV,chr2-176104883
chr3,170746012,170746586,575,*,7,0,3.12653522653215e-274,2.56214482193857e-79,1.13099121938565e-301,0.235175651690312,0.128978255990086,,IM_vs_NV,chr3-171028475
chr5,77267915,77269342,1428,*,7,0,1.70246184497516e-299,6.40547287671508e-84,0,0.229329952962124,0.114491349188844,,IM_vs_NV,chr5-77972627
chr7,55605399,55606405,1007,*,7,0,0,9.77637843964664e-112,0,-0.211742877513942,-0.116085710075992,VOPP1,IM_vs_NV,chr7-55538647
chr7,158220708,158221401,694,*,7,0,0,4.1252918423169e-97,0,-0.251792627504433,-0.119747139176206,PTPRN2,IM_vs_NV,chr7-158428677
chr7,158282601,158284889,2289,*,7,0,0,1.82131323442651e-91,0,-0.183239573431646,-0.127623364013867,PTPRN2,IM_vs_NV,chr7-158490529
chr8,96084821,96085994,1174,*,7,0,0,4.04167318925307e-99,0,0.197497306478656,0.117438860262195,"NDUFAF6, MIR3150A, RP11-320N21.2",IM_vs_NV,chr8-95073156; chr8-95073460
chr10,134221503,134222581,1079,*,7,0,0,4.27154377166698e-101,0,0.202658776580135,0.13232889616613,PWWP2B,IM_vs_NV,chr10-132408128
chr19,6475456,6477198,1743,*,7,0,0,9.19997098471373e-88,0,0.221973329905251,0.140454054585738,DENND1C,IM_vs_NV,chr19-6477021
chr2,916900,917577,678,*,6,0,0,1.07628819462356e-96,0,-0.197717187793298,-0.129379134351124,,IM_vs_NV,chr2-921285
chr4,160148562,160150415,1854,*,6,0,0,1.58885105703425e-93,0,0.212797362108639,0.136249303419817,RAPGEF2,IM_vs_NV,chr4-159228451
chr7,50357825,50358935,1111,*,6,0,0,9.06543879575392e-109,0,-0.19451500783332,-0.138572709024279,IKZF1,IM_vs_NV,chr7-50318228
chr8,144576604,144578188,1585,*,6,0,0,1.69834308558716e-99,0,0.239331982001726,0.127855924376878,ZC3H3,IM_vs_NV,chr8-143495067
chr19,1151226,1152358,1133,*,6,0,1.20828980050418e-308,2.95410365607599e-79,1.11253692925368e-308,0.169787219232544,0.115427038274907,SBNO2,IM_vs_NV,chr19-1152358
chr19,46031516,46033285,1770,*,6,0,0,3.31973844846524e-93,0,0.186329810232142,0.131727234109391,OPA3,IM_vs_NV,chr19-45529172
chr4,7651797,7652806,1010,*,5,0,1.11253692926243e-308,4.59791205289188e-112,0,-0.257419704125951,-0.118504894242238,SORCS2,IM_vs_NV,chr4-7650069; chr4-7650207
chr4,13525966,13527710,1745,*,5,0,4.40631768790551e-240,1.47712076399312e-104,1.21688514099493e-304,0.211468971607563,0.103769691549468,,IM_vs_NV,chr4-13525144
chr5,77253378,77253990,613,*,5,0,1.11253697847886e-308,5.58080800784283e-103,0,0.245494454320381,0.156969054481608,,IM_vs_NV,chr5-77958149; chr5-77958165
chr7,810958,811786,829,*,5,0,1.66657795269761e-226,1.08838114822987e-94,2.0012573633535e-264,0.249465122035477,0.119958664401001,HEATR2,IM_vs_NV,chr7-771470
chr9,124981504,124982413,910,*,5,0,1.11279426266138e-308,2.8239076004411e-78,1.13535408442294e-308,0.177081101024748,0.12469581992433,LHX6,IM_vs_NV,chr9-122220133
chr1,169677313,169677921,609,*,4,0,0,7.71188662965097e-106,0,-0.202254321130189,-0.167553075477709,"C1orf112, SELL",IM_vs_NV,chr1-169708779
chr5,156476308,156477270,963,*,4,0,1.7983327967555e-153,2.43910607858526e-117,3.90411685181936e-227,-0.220865440918258,-0.114585620275079,HAVCR1,IM_vs_NV,chr5-157050225; chr5-157050258
chr7,50348174,50348870,697,*,4,0,0,3.38415641204599e-107,0,-0.207448954886784,-0.17702287363137,IKZF1,IM_vs_NV,chr7-50308577
chr8,67454183,67454892,710,*,4,0,4.5687678594266e-246,2.1052985544258e-108,1.81604216030387e-272,0.199305718618219,0.12808011388029,,IM_vs_NV,chr8-66542431
chr4,1027885,1028067,183,*,3,0,1.34930093577251e-285,2.5789898378961e-108,5.84158081682007e-285,0.25444861816568,0.191408395643622,,IM_vs_NV,chr4-1034096; chr4-1034178
chr12,112074044,112074158,115,*,3,0,0,2.91557859329258e-114,0,0.236326364256759,0.221665953752205,,IM_vs_NV,chr12-111636239; chr12-111636281; chr12-111636353
chr15,58782685,58782981,297,*,3,0,1.16212595579354e-290,3.25120717176268e-107,3.57021520477542e-289,0.185471973736675,0.178276686186021,"ALDH1A2, LIPC, RP11-355N15.1",IM_vs_NV,chr15-58490488
chr1,38460950,38462546,1597,*,5,1.11253692925362e-308,3.20524579624386e-211,2.03838557366668e-79,2.71958801425504e-249,0.180060853025453,0.114888231333772,FHL3,IM_vs_NV,chr1-37996014
chr3,160120464,160122503,2040,*,7,1.11253692925373e-308,1.2626288294155e-308,9.60593995143139e-86,0,-0.177829681245327,-0.101556121937186,"RP11-432B6.3, SMC4, MIR15B",IM_vs_NV,chr3-160403486
chr5,72732060,72733052,993,*,5,1.11253692925373e-308,2.75798779612063e-241,7.13066659182869e-96,9.95753976388399e-256,0.194761763702738,0.105368014944965,,IM_vs_NV,chr5-73436658
chr7,50346997,50347081,85,*,3,1.11253692926048e-308,3.61298264654567e-233,2.61393506368332e-91,2.91972386397935e-232,-0.213276201965743,-0.191606474661943,IKZF1,IM_vs_NV,chr7-50307471
chr4,140770015,140770596,582,*,3,1.16176377789368e-305,6.2132297761781e-173,7.19545024919008e-108,2.90634880487945e-215,0.217782021101498,0.133480010995856,MAML3,IM_vs_NV,chr4-139849421
chr7,55601226,55603306,2081,*,4,4.20161787777802e-305,0,1.85751081884841e-109,0,-0.238254253408118,-0.173728594975825,VOPP1,IM_vs_NV,chr7-55534678
chr4,154143948,154144462,515,*,3,7.49169676749862e-304,4.04803613048035e-251,4.03213276778206e-86,2.74531387679891e-249,0.189372768246361,0.161844270966303,TRIM2,IM_vs_NV,chr4-153223133; chr4-153223309
chr5,42953543,42953590,48,*,2,7.6955730771316e-299,2.50064910399798e-221,2.99792904158781e-112,1.97479147064208e-220,0.230142294900517,0.223205521733623,,IM_vs_NV,chr5-42953440; chr5-42953487
chr19,55449439,55449446,8,*,2,9.7949908480414e-294,7.60945543676212e-215,1.54097876971345e-113,3.53402536952281e-214,-0.231073809228678,-0.22586471304026,NLRP7,IM_vs_NV,chr19-54938077
chr14,75765352,75766014,663,*,4,1.55262300277655e-291,6.11097561133257e-166,2.0883911240984e-100,3.09332339801951e-201,0.213193793686826,0.102343165377818,,IM_vs_NV,chr14-75298745
chr7,150129357,150131512,2156,*,5,1.46897091959627e-286,2.64653267437779e-307,2.08980486068393e-109,1.11253698254336e-308,-0.209226877892017,-0.106016811146219,LINC00996,IM_vs_NV,chr7-150433619
chr10,129979348,129979375,28,*,2,3.56716259579702e-284,3.62622750599088e-207,1.30394285260842e-115,4.2217376541922e-207,-0.199464858601289,-0.197277228472589,,IM_vs_NV,chr10-128181110
chr7,100091181,100091793,613,*,6,8.60897475834695e-275,4.97755451246497e-235,3.26057700636956e-54,1.83790369335467e-241,0.161228581693266,0.106777672616098,NYAP1,IM_vs_NV,chr7-100493740
chr1,224363449,224363575,127,*,2,4.50505988551408e-269,4.91219265081992e-210,4.22526598917133e-107,3.73004048726391e-209,0.271699054945933,0.235168941721006,DEGS1,IM_vs_NV,chr1-224175746
chr15,96472677,96472718,42,*,2,2.66411785437871e-267,3.25437605805787e-207,3.63745640995047e-116,3.17886558842395e-207,-0.215602722298433,-0.199729629566644,,IM_vs_NV,chr15-95929488
chr2,65085243,65085764,522,*,3,3.5981291855687e-262,1.50505623782617e-192,4.07706693702711e-108,4.18888219537176e-201,0.239231398797207,0.159274887935923,AC007880.1,IM_vs_NV,chr2-64858108
chr10,48481599,48482113,515,*,2,1.4126989024132e-258,8.25495685663775e-179,3.64247517189213e-130,1.46954716735021e-186,-0.224826488687689,-0.160991420097641,,IM_vs_NV,chr10-47257761
chr8,81639711,81639869,159,*,2,3.28377460058559e-251,1.95352826650354e-196,1.50250142127771e-111,1.48971503489969e-196,0.207132858271298,0.205026709214316,ZNF704,IM_vs_NV,chr8-80727633
chr4,715865,716282,418,*,4,1.06699250158587e-250,3.50781252635483e-172,8.00501871929899e-72,3.98138477349124e-201,0.172107955905012,0.105236143257847,"PCGF3, RP11-1191J2.4",IM_vs_NV,chr4-722075
chr7,157655436,157656367,932,*,4,3.26362978417608e-245,6.77214477000943e-216,1.59895288601048e-78,2.02807264987836e-217,-0.203333697147138,-0.140026885653785,"PTPRN2, AC011899.9",IM_vs_NV,chr7-157862743
chr1,27916108,27916318,211,*,2,2.84626697533623e-234,1.81893571045222e-187,1.09710003680585e-97,1.16127998330385e-186,0.200720667818777,0.132600476496516,AHDC1,IM_vs_NV,chr1-27589806
chr1,208131213,208132787,1575,*,5,8.63553327803026e-234,5.08641122404038e-179,2.60791473221746e-72,7.01395904539597e-205,0.229843857798845,0.120986679612841,,IM_vs_NV,chr1-207959441
chr5,76928628,76928810,183,*,2,9.90891049115614e-231,1.43381625589345e-183,7.55698611652759e-104,1.58131690022425e-183,0.220508005693838,0.172771083164071,OTP,IM_vs_NV,chr5-77632984
chr8,5909880,5910061,182,*,3,5.07573771195404e-230,4.50666127931489e-191,7.94718945840882e-87,1.67365655374134e-193,-0.194374339031008,-0.132567743497517,RP11-124B13.1,IM_vs_NV,chr8-6052422
chr2,2119533,2119853,321,*,2,4.59915503770357e-225,3.02363330132058e-179,2.67078437423828e-102,2.67575935989728e-179,-0.175906615578067,-0.148887610822119,MYT1L,IM_vs_NV,chr2-2115760
chr14,89651548,89652402,855,*,2,1.59948715948292e-222,5.67890743549384e-181,1.94083276188897e-125,1.41648213020004e-186,0.22205741552958,0.167290906733616,FOXN3,IM_vs_NV,chr14-89185203
chr17,63070811,63071046,236,*,2,1.74484238687401e-217,1.95306905000055e-170,1.44108441013609e-106,3.58346556163796e-172,0.201141332026002,0.157537239768962,,IM_vs_NV,chr17-65074927
chr19,52327441,52328110,670,*,2,1.4152652782426e-216,2.62093528730131e-161,3.71495270684828e-116,1.67294410710577e-167,-0.21411763759486,-0.161118079088498,FPR3,IM_vs_NV,chr19-51824856
chr7,150435779,150437232,1454,*,3,7.48199826895531e-216,6.60924438757725e-258,2.842750237566e-101,6.75253876274601e-258,-0.210026339528217,-0.184448151022976,GIMAP5,IM_vs_NV,chr7-150738690; chr7-150740143
chr7,155989369,155989395,27,*,2,2.81361651014252e-214,5.23685719878906e-169,1.34368148185663e-107,3.53133593878736e-171,-0.184488369141778,-0.173429274122341,,IM_vs_NV,chr7-156196674
chr2,45405210,45405216,7,*,2,3.02159091220258e-214,8.53639767529431e-173,5.40886975349938e-90,5.57799868629886e-172,-0.214861866579229,-0.211383738091683,LINC01121,IM_vs_NV,chr2-45178076
chr19,29898548,29899072,525,*,2,2.24320502992336e-213,1.69102311836752e-174,4.41242549569014e-101,9.79915640978226e-175,-0.198665987540625,-0.159710682814521,CTC-525D6.1,IM_vs_NV,chr19-29407640
chr1,169281590,169281716,127,*,2,3.03837181307657e-213,8.37885464976713e-171,3.26018249282295e-102,1.41643488782863e-171,-0.194510154529467,-0.179348603290735,"NME7, RP4-800F24.1",IM_vs_NV,chr1-169312477
chr14,91011605,91012362,758,*,2,6.45288563953948e-213,1.83582116369891e-193,2.65094214267394e-110,1.2754877234413e-193,0.205142383672213,0.170614134404861,TTC7B,IM_vs_NV,chr14-90546017
chr8,20809678,20810608,931,*,4,7.4535825746652e-209,4.10235666914878e-200,1.46838043005363e-73,1.41713122237158e-203,-0.188309285548104,-0.122641363665017,RP11-369E15.3,IM_vs_NV,chr8-20953096
chr9,136445379,136445943,565,*,3,2.51782778064786e-206,1.22853970680709e-134,2.43221762430716e-96,1.12270405220994e-156,-0.209485694329454,-0.101404624506176,FAM163B,IM_vs_NV,chr9-133580256
chr16,79897435,79897930,496,*,2,2.89738750313067e-205,8.76907139552733e-140,1.34300328844597e-113,3.47633859614975e-150,-0.193861830607822,-0.116976671957778,,IM_vs_NV,chr16-79864032
chr21,43705995,43706240,246,*,2,1.07449953848564e-204,4.14560052100452e-150,4.28478500188038e-113,1.3536137944528e-157,-0.208095620027389,-0.124993201441063,ABCG1,IM_vs_NV,chr21-42286129
chr7,157967926,157968683,758,*,3,4.82714803658526e-204,1.02839924179332e-194,6.19926093122299e-82,1.26553146487454e-195,-0.163980316865388,-0.146866641429208,PTPRN2,IM_vs_NV,chr7-158175233
chr7,37392880,37394706,1827,*,7,4.68916394141296e-202,1.11254139583207e-308,2.81830967942334e-72,1.11253702864188e-308,-0.152277923038064,-0.100693368279761,ELMO1,IM_vs_NV,chr7-37354955
chr8,35647941,35648588,648,*,2,2.37317618317679e-200,5.62525310321741e-172,5.42787085915576e-101,2.0507439103283e-172,-0.192330052859122,-0.17678461134069,UNC5D,IM_vs_NV,chr8-35790422
chr3,119014825,119015466,642,*,2,8.78889688231696e-196,6.7316633737475e-116,2.91557859329258e-114,5.78964541059655e-135,0.213097426171536,0.147518716931317,ARHGAP31,IM_vs_NV,chr3-119296618
chr11,47376754,47376985,232,*,2,4.23720627622233e-194,1.21688350644119e-153,1.76759805030091e-84,3.93048482689574e-153,0.168228510480771,0.14316735859553,SPI1,IM_vs_NV,chr11-47355202
chr17,79038153,79038712,560,*,2,7.79910604211133e-192,1.24333491020522e-159,1.62086520342369e-95,2.99883481499423e-160,0.26481884379798,0.165544611098137,BAIAP2,IM_vs_NV,chr17-81064911
chr5,10973173,10973693,521,*,3,2.54415093478426e-191,4.10995475952893e-165,4.6996852896104e-64,8.05314961185235e-165,-0.154809126534916,-0.100691078677492,CTNND2,IM_vs_NV,chr5-10973516
chr7,158092647,158093250,604,*,3,4.43699726193246e-190,1.27986269094582e-177,2.08574336221941e-68,9.26673799545756e-177,-0.203863394637044,-0.163934385431408,PTPRN2,IM_vs_NV,chr7-158300557
chr2,1983439,1983518,80,*,3,3.33810256627615e-188,1.49159661952807e-156,8.33071188582508e-61,2.20108600980952e-155,-0.153847001444189,-0.122529607615975,MYT1L,IM_vs_NV,chr2-1979711
chr11,18978169,18978218,50,*,2,7.56619260575082e-187,1.04333346084421e-155,1.59492879206536e-84,4.16963212275419e-155,-0.185142470029463,-0.142362883718414,RP11-583F24.4,IM_vs_NV,chr11-18956621
chr13,25085301,25085405,105,*,2,2.33790360190031e-185,1.09672372142173e-150,1.88829246571372e-77,7.93249666476075e-150,-0.186850661531802,-0.178681235666787,"TPTE2P6, PARP4",IM_vs_NV,chr13-24511162
chr5,176790179,176790350,172,*,3,2.09515455314762e-181,9.74855966580093e-150,4.36173987310671e-84,7.5807448651256e-155,0.201883727701943,0.108589312344199,RGS14,IM_vs_NV,chr5-177363177
chr3,137069990,137070350,361,*,2,9.04795907544226e-181,3.45845836218357e-136,6.16388506896463e-100,1.08917816286278e-141,-0.196311116905029,-0.124486046552159,,IM_vs_NV,chr3-137351507
chr10,121040981,121041196,216,*,2,1.11437458095055e-179,5.19830548578028e-118,5.23993354866699e-114,4.74044019959522e-136,0.225985759644514,0.137209716408274,GRK5,IM_vs_NV,chr10-119281683
chr4,102112217,102112901,685,*,2,1.13241511032499e-179,2.06356533853789e-58,5.4110710036701e-112,2.19632540930674e-112,0.239606298864459,0.12006321727998,PPP3CA,IM_vs_NV,chr4-101191743
chr7,40338163,40338925,763,*,2,4.91692034442558e-176,3.65361948224769e-68,8.70455883594697e-111,1.74019592465992e-112,-0.215884934412018,-0.117806251971337,SUGCT,IM_vs_NV,chr7-40299325
chr11,35088518,35088821,304,*,2,1.01569350388379e-170,9.38580897875619e-114,2.24662498888739e-106,6.39531724258673e-129,-0.186254983266316,-0.122732913037651,,IM_vs_NV,chr11-35067273
chr4,159315123,159315440,318,*,2,1.54110076578983e-168,7.20174368522472e-98,1.56881854165869e-101,1.37355375688629e-116,-0.208162456311994,-0.125989978161305,RXFP1,IM_vs_NV,chr4-158394287
chr10,92811846,92812110,265,*,2,2.34424230064261e-167,2.84426025401417e-83,4.36205553701416e-114,1.64547135443271e-119,0.199414098998139,0.112280328620431,LINC00502,IM_vs_NV,chr10-91052088
chr9,120698565,120698862,298,*,2,4.7782476869338e-162,8.12933885351286e-104,1.32641348036315e-104,6.68537608734082e-122,-0.228668542943042,-0.129915332637955,,IM_vs_NV,chr9-117936286
chr8,3047536,3047756,221,*,2,1.05173391279921e-161,3.9996568924394e-126,2.22569406677001e-77,1.02038633982864e-126,-0.162400043378666,-0.123065119331609,CSMD1,IM_vs_NV,chr8-3190013
chr8,119917631,119918483,853,*,2,6.17572923506696e-160,1.79352793115977e-68,1.12478950909379e-78,6.2391678369314e-86,-0.176469677455395,-0.100204945895948,,IM_vs_NV,chr8-118905391
chr2,176940301,176940341,41,*,2,6.9282218489103e-157,8.53188390205088e-134,3.86492471236941e-76,1.63121897544727e-133,0.168760442458082,0.157474001307479,,IM_vs_NV,chr2-176075572
chr3,112980454,112981348,895,*,2,1.27944271120758e-155,8.523922328331e-107,3.25379024277834e-101,1.29335723087345e-121,0.219273960121127,0.148347968891175,BOC,IM_vs_NV,chr3-113261606
chr7,158068657,158070332,1676,*,3,5.80003367817065e-152,4.76125527283632e-166,1.13509482335692e-72,6.88348590730293e-168,-0.146585591336964,-0.117060872654233,PTPRN2,IM_vs_NV,chr7-158277639
chr7,51673444,51674282,839,*,3,4.10759881693018e-147,2.08524228097242e-131,1.4516547448762e-68,1.96513276380044e-134,-0.151981356653835,-0.116390268275664,,IM_vs_NV,chr7-51605747
chr19,11087842,11088398,557,*,2,4.16471681365739e-143,1.05320153055579e-65,3.13059430506819e-94,5.95289569978852e-97,0.212665147134787,0.108905408108036,SMARCA4,IM_vs_NV,chr19-10977165
chr6,16803812,16804166,355,*,2,2.47151321002934e-142,1.52333961327157e-122,2.57726484653762e-64,9.54849925118135e-122,0.149011510494202,0.13747604426621,,IM_vs_NV,chr6-16803580
chr8,67085823,67085866,44,*,2,9.9514543405316e-123,5.05772236121617e-108,1.12743249291456e-62,8.97689200916565e-108,-0.151676403360239,-0.128284745406246,TRIM55,IM_vs_NV,chr8-66173587
chr11,3144774,3145609,836,*,3,3.08055327212633e-122,1.52879594048682e-104,1.70112591011669e-58,1.62941539265707e-109,0.155857110355988,0.106120325049149,OSBPL5,IM_vs_NV,chr11-3123543
chr1,76620177,76620334,158,*,3,3.41620277986625e-114,4.1953254579772e-106,5.54232771960991e-41,7.13735810220523e-105,-0.142702237133906,-0.117848046658589,ST6GALNAC3,IM_vs_NV,chr1-76154585; chr1-76154648
chr7,157396482,157396576,95,*,2,2.25185586450375e-100,4.59662025938431e-70,1.29208436993851e-73,2.19778410026724e-83,-0.161613569072526,-0.101468084462123,PTPRN2,IM_vs_NV,chr7-157603789
chr1,2919785,2921137,1353,*,3,2.95956904416376e-94,4.20528130401227e-64,5.37490102578364e-61,1.21342922374121e-87,-0.236009676940892,-0.103346761755304,,IM_vs_NV,chr1-3003220
chr16,73023727,73024202,476,*,3,6.09469082014825e-92,7.26084360996276e-85,1.07347661931907e-35,8.5418150056131e-85,0.124188406714728,0.112077272772219,ZFHX3,IM_vs_NV,chr16-72990097
chr13,108237965,108238753,789,*,2,1.1865064296547e-74,5.14284708490928e-75,5.25847850463758e-49,1.2644094774263e-75,-0.111196101471215,-0.100619048307289,FAM155A,IM_vs_NV,chr13-107585616
chr6,31650735,31651676,942,*,13,4.00620233179474e-237,6.27486568201201e-193,5.54582623799935e-27,5.9505694581398e-213,0.232172037745284,0.104682792116424,LY6G5C,NIM_vs_NV,chr6-31683152; chr6-31683251
chr1,76620177,76620334,158,*,3,1.82478373209063e-102,1.84607593192225e-96,2.15820675190259e-32,4.54183073391359e-95,-0.186218167311868,-0.161941462200297,ST6GALNAC3,NIM_vs_NV,chr1-76154585; chr1-76154648
chr8,74903761,74904535,775,*,4,8.1101516574321e-90,2.63656318216608e-87,5.39839637117457e-26,5.63226241739725e-86,-0.172181664896207,-0.139180496816194,LY96,NIM_vs_NV,chr8-73991525
chr15,58782685,58782981,297,*,3,2.78084894806077e-59,2.64470035677247e-58,2.35099341498926e-20,5.02874349875806e-57,0.122281165654773,0.11425400608139,"LIPC, ALDH1A2, RP11-355N15.1",NIM_vs_NV,chr15-58490488
chr13,25085301,25085405,105,*,2,1.8065689274455e-56,3.30409191947412e-52,4.37990518522255e-26,1.36007916024597e-51,-0.148291186992246,-0.147708632297143,"TPTE2P6, PARP4",NIM_vs_NV,chr13-24511162
chr6,16803812,16804166,355,*,2,2.90275384526359e-54,8.27371823279432e-51,3.8770979066307e-27,2.51564159218817e-50,0.150884174743805,0.132042572314542,,NIM_vs_NV,chr6-16803580
chr7,50346997,50347081,85,*,3,9.46948002737134e-54,8.14665518398742e-49,3.02120598783725e-20,6.26199358507729e-48,-0.139734254444003,-0.120753570775568,IKZF1,NIM_vs_NV,chr7-50307471
